Timestamp,Latitude,Longitude,DeviceId,Epoch,Rounded epoch
07:00.0,-16.911813,145.71642,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213167,26213167
08:00.0,-16.905154,145.709811,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213168,26213168
09:00.0,-16.903386,145.713598,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213169,26213169
11:35.0,-16.902378,145.714816,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213172,26213171
12:00.0,-16.902378,145.714819,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213172,26213172
13:55.0,-16.902482,145.714855,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213174,26213173
32:12.0,-16.902305,145.714889,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213192,26213192
33:51.0,-16.902372,145.714896,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213194,26213193
34:01.0,-16.902396,145.714927,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213194,26213194
35:01.0,-16.902435,145.714954,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213195,26213195
36:02.0,-16.902345,145.715002,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213196,26213196
37:05.0,-16.902351,145.714946,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213197,26213197
38:04.0,-16.902435,145.714949,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213198,26213198
39:04.0,-16.902352,145.714975,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213199,26213199
40:04.0,-16.902347,145.715041,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213200,26213200
41:02.0,-16.902439,145.71512,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213201,26213201
43:07.0,-16.902292,145.715063,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213203,26213203
44:19.0,-16.902271,145.715075,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213204,26213204
45:01.0,-16.902371,145.715081,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213205,26213205
46:06.0,-16.90245,145.715011,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213206,26213206
48:19.0,-16.902279,145.714819,274e8c7e-9088-40e4-b1ce-cd50331724b6,26213208,26213208
